date	Aged5	Aged5to14	Aged15to24	Aged25to34	Aged35to44	Aged45to54	Aged55to64	Aged65up
01/04/2020	0	0	0	0.001926782	0.001818182	0.001792115	0.013636364	0.111441308
01/05/2020	0	0	0.001467351	0.001222868	0.002578058	0.00533049	0.016999261	0.170121515
01/06/2020	0	0	0.001092896	0.001191327	0.002273244	0.005124777	0.018414482	0.202351097
01/07/2020	0	0	0.000527426	0.001169044	0.002453167	0.005030621	0.019378653	0.21236476
01/08/2020	0	0	0.000490918	0.001117568	0.002606995	0.005138086	0.02032767	0.21406681
