aggregation,date,google_mobility_level_rolling_mean_stage,new_deaths_rolling_mean_stage,new_cases_rolling_mean_stage,state,new_cases,new_deaths,population,google_mobility_level,google_mobility_level_by_pop,new_cases_rolling_mean,new_deaths_rolling_mean,google_mobility_level_rolling_mean,new_cases_rolling_mean_rel,new_deaths_rolling_mean_rel,google_mobility_level_rolling_mean_rel,new_cases_rolling_mean_stage_day,new_deaths_rolling_mean_stage_day,google_mobility_level_rolling_mean_stage_day,new_cases_rolling_mean_cummax
South Carolina,2020-03-09,,,,South Carolina,5.0,,5148714.0,106.0,545763684.0,,,,,,,,,,
Maryland,2020-03-09,,,,Maryland,2.0,,6045680.0,102.66666666666669,620689813.3333334,,,,,,,,,,
New Hampshire,2020-03-09,,,,New Hampshire,0.0,,1359711.0,106.0,144129366.0,,,,,,,,,,
Idaho,2020-03-09,,,,Idaho,0.0,,1787065.0,106.66666666666669,190620266.6666667,,,,,,,,,,
Kansas,2020-03-09,,,,Kansas,0.0,,2913314.0,100.66666666666669,293273609.3333334,,,,,,,,,,
Louisiana,2020-03-09,,,,Louisiana,1.0,,4648794.0,106.33333333333331,494321762.0,,,,,,,,,,
Indiana,2020-03-09,,,,Indiana,0.0,,6732219.0,104.33333333333331,702394849.0,,,,,,,,,,
Utah,2020-03-09,,,,Utah,0.0,,3205958.0,103.66666666666669,332350979.3333334,,,,,,,,,,
North Dakota,2020-03-09,,,,North Dakota,0.0,,762062.0,103.33333333333331,78746406.66666666,,,,,,,,,,
Virginia,2020-03-09,,,,Virginia,1.0,,8535519.0,103.0,879158457.0,,,,,,,,,,
Kentucky,2020-03-09,,,,Kentucky,3.0,,4467673.0,103.66666666666669,463148767.6666667,,,,,,,,,,
Iowa,2020-03-09,,,,Iowa,3.0,,3155070.0,100.66666666666669,317610380.0,,,,,,,,,,
Washington,2020-03-09,,,,Washington,172.0,4.0,7614893.0,93.0,708185049.0,112.42857142857143,3.4285714285714284,97.09523809523807,0.11559929494712105,0.1437125748502994,0.9184684684684684,,,,112.42857142857143
New Mexico,2020-03-09,,,,New Mexico,0.0,,2096829.0,108.0,226457532.0,,,,,,,,,,
Arkansas,2020-03-09,,,,Arkansas,0.0,,3017804.0,103.0,310833812.0,,,,,,,,,,
West Virginia,2020-03-09,,,,West Virginia,0.0,,1792147.0,106.66666666666669,191162346.6666667,,,,,,,,,,
Tennessee,2020-03-09,,,,Tennessee,0.0,,6829174.0,104.33333333333331,712510487.3333333,,,,,,,,,,
Connecticut,2020-03-09,,,,Connecticut,0.0,,3565287.0,104.33333333333331,371978277.0,,,,,,,,,,
New Jersey,2020-03-09,,,,New Jersey,5.0,,8882190.0,101.66666666666669,903022650.0,,,,,,,,,,
Alaska,2020-03-09,,,,Alaska,0.0,0.0,731545.0,100.0,73154500.0,,,,,,,,,,
Delaware,2020-03-09,,,,Delaware,0.0,0.0,973764.0,105.33333333333331,102569808.0,,,,,,,,,,
Nevada,2020-03-09,,,,Nevada,0.0,0.0,3080156.0,99.0,304935444.0,,,,,,,,,,
Arizona,2020-03-09,,,,Arizona,0.0,,7278717.0,102.0,742429134.0,,,,,,,,,,
us,2020-03-09,,,,,367.0,4.0,321347020.0,101.74395892328485,,205.0,3.4285714285714284,103.92884722626728,0.0030843102106788067,0.0016612445490413233,0.9791143166298252,,,,205.0
District of Columbia,2020-03-09,,,,District of Columbia,0.0,,705749.0,102.33333333333331,72221647.66666666,,,,,,,,,,
Pennsylvania,2020-03-09,,,,Pennsylvania,4.0,,12801989.0,103.33333333333331,1322872196.6666665,,,,,,,,,,
Oregon,2020-03-09,,,,Oregon,0.0,,4217737.0,103.0,434426911.0,,,,,,,,,,
Maine,2020-03-09,,,,Maine,0.0,,1344212.0,106.0,142486472.0,,,,,,,,,,
Alabama,2020-03-09,,,,Alabama,0.0,,4903185.0,107.0,524640795.0,,,,,,,,,,
Illinois,2020-03-09,,,,Illinois,1.0,,12671821.0,98.0,1241838458.0,,,,,,,,,,
Texas,2020-03-09,,,,Texas,4.0,,28995881.0,99.33333333333331,2880257512.6666665,,,,,,,,,,
Nebraska,2020-03-09,,,,Nebraska,2.0,,1934408.0,99.0,191506392.0,,,,,,,,,,
Michigan,2020-03-09,,,,Michigan,86.0,,9986857.0,103.66666666666669,1035304175.6666667,33.714285714285715,,107.33333333333331,0.026484120749635284,,0.9938271604938272,,,,33.714285714285715
New York,2020-03-09,,,,New York,37.0,,19453561.0,101.33333333333331,1971294181.3333333,,,,,,,,,,
Wyoming,2020-03-09,,,,Wyoming,0.0,,578759.0,107.0,61927213.0,,,,,,,,,,
Florida,2020-03-09,,,,Florida,1.0,,21477737.0,101.33333333333331,2176410682.6666665,,,,,,,,,,
Montana,2020-03-09,,,,Montana,0.0,,1068778.0,106.0,113290468.0,,,,,,,,,,
Wisconsin,2020-03-09,,,,Wisconsin,0.0,,5822434.0,99.33333333333331,578361777.3333333,,,,,,,,,,
Hawaii,2020-03-09,,,,Hawaii,1.0,,1415872.0,98.66666666666669,139699370.6666667,,,,,,,,,,
Rhode Island,2020-03-09,,,,Rhode Island,1.0,,1059361.0,104.0,110173544.0,0.2857142857142857,,103.66666666666669,0.0007619047619047617,,0.9967948717948718,,,,0.42857142857142855
Missouri,2020-03-09,,,,Missouri,0.0,,6137428.0,100.0,613742800.0,,,,,,,,,,
Mississippi,2020-03-09,,,,Mississippi,0.0,,2976149.0,103.66666666666669,308527446.3333334,,,,,,,,,,
Ohio,2020-03-09,,,,Ohio,3.0,,11689100.0,105.66666666666669,1235148233.3333335,,,,,,,,,,
Minnesota,2020-03-10,,,,Minnesota,6.0,,5639632.0,101.0,569602832.0,,,,,,,,,,
Vermont,2020-03-10,,,,Vermont,0.0,,623989.0,101.0,63022889.0,,,,,,,,,,
Connecticut,2020-03-10,,,,Connecticut,1.0,,3565287.0,101.66666666666669,362470845.0,,,,,,,,,,
Hawaii,2020-03-10,,,,Hawaii,0.0,,1415872.0,98.0,138755456.0,,,,,,,,,,
Iowa,2020-03-10,,,,Iowa,5.0,,3155070.0,104.0,328127280.0,,,,,,,,,,
Oklahoma,2020-03-10,,,,Oklahoma,1.0,,3956971.0,107.0,423395897.0,,,,,,,,,,
Texas,2020-03-10,,,,Texas,1.0,,28995881.0,101.0,2928583981.0,1.8571428571428568,,103.66666666666666,0.00018771749960290533,,1.0,,,,1.8571428571428568
Tennessee,2020-03-10,,,,Tennessee,4.0,,6829174.0,103.33333333333331,705681313.3333333,,,,,,,,,,
Rhode Island,2020-03-10,,,,Rhode Island,1.0,,1059361.0,100.66666666666669,106642340.66666669,0.42857142857142855,,103.14285714285714,0.0011428571428571427,,0.9917582417582416,,,,0.42857142857142855
Kansas,2020-03-10,,,,Kansas,0.0,,2913314.0,104.0,302984656.0,,,,,,,,,,
Pennsylvania,2020-03-10,,,,Pennsylvania,2.0,,12801989.0,101.33333333333331,1297268218.6666665,,,,,,,,,,
South Carolina,2020-03-10,,,,South Carolina,0.0,,5148714.0,106.0,545763684.0,1.0,,106.90476190476193,0.0005131588593211641,,0.9881161971830986,,,,1.0
Michigan,2020-03-10,,,,Michigan,104.0,,9986857.0,105.0,1048619985.0,46.28571428571429,,107.04761904761904,0.036359555605431484,,0.9911816578483243,,,,46.28571428571429
Arizona,2020-03-10,,,,Arizona,1.0,,7278717.0,100.0,727871700.0,0.8571428571428571,,104.04761904761904,0.0002229820127843021,,1.0,,,,0.8571428571428571
New Mexico,2020-03-10,,,,New Mexico,0.0,,2096829.0,107.33333333333331,225059646.0,,,,,,,,,,
Ohio,2020-03-10,,,,Ohio,0.0,,11689100.0,102.33333333333331,1196184566.6666665,,,,,,,,,,
Nevada,2020-03-10,,,,Nevada,0.0,0.0,3080156.0,98.33333333333331,302882006.6666666,,,,,,,,,,
District of Columbia,2020-03-10,,,,District of Columbia,4.0,,705749.0,100.33333333333331,70810149.66666666,,,,,,,,,,
California,2020-03-10,,,,California,19.0,,39512223.0,94.33333333333331,3727319703.0,19.0,,99.33333333333334,0.0018989962448420121,,1.0,,,,19.0
New York,2020-03-10,,,,New York,31.0,,19453561.0,97.66666666666669,1899964457.6666667,24.714285714285715,,102.19047619047619,0.0025573179204422826,,1.0,,,,24.714285714285715
Arkansas,2020-03-10,,,,Arkansas,0.0,,3017804.0,107.33333333333331,323910962.6666666,,,,,,,,,,
Oregon,2020-03-10,,,,Oregon,1.0,,4217737.0,103.66666666666669,437238735.6666667,2.142857142857143,,103.71428571428572,0.0062266500622665,,1.0,,,,2.142857142857143
Indiana,2020-03-10,,,,Indiana,4.0,,6732219.0,103.66666666666669,697906703.0,,,,,,,,,,
Utah,2020-03-10,,,,Utah,1.0,,3205958.0,102.33333333333331,328076368.6666666,,,,,,,,,,
Kentucky,2020-03-10,,,,Kentucky,2.0,,4467673.0,102.33333333333331,457191870.3333333,,,,,,,,,,
North Carolina,2020-03-10,,,,North Carolina,5.0,,10488084.0,103.0,1080272652.0,1.0,,104.4761904761905,0.000494175785386516,,1.0,,,,1.0
South Dakota,2020-03-10,,,,South Dakota,0.0,,884659.0,106.33333333333331,94068740.33333331,,,,,,,,,,
Nebraska,2020-03-10,,,,Nebraska,0.0,,1934408.0,101.66666666666669,196664813.3333333,,,,,,,,,,
Montana,2020-03-10,,,,Montana,0.0,,1068778.0,105.0,112221690.0,,,,,,,,,,
Virginia,2020-03-10,,,,Virginia,5.0,,8535519.0,102.0,870622938.0,,,,,,,,,,
Colorado,2020-03-10,,,,Colorado,3.0,,5758736.0,102.0,587391072.0,,,,,,,,,,
