state,date,new_cases,new_deaths,population,google_mobility_level,google_mobility_level_by_pop,aggregation,new_cases_rolling_mean,new_deaths_rolling_mean,google_mobility_level_rolling_mean,new_cases_rolling_mean_rel,new_deaths_rolling_mean_rel,google_mobility_level_rolling_mean_rel
Washington,2020-02-17,15.0,,7614893.0,90.0,685340370.0,Washington,4.857142857142857,,,0.00499412455934195,,
Washington,2020-02-18,9.0,,7614893.0,102.66666666666667,781795681.3333334,Washington,6.0,,,0.006169212690951821,,
,2020-02-18,9.0,0.0,7614893.0,102.66666666666667,,us,6.0,0.0,,9.027249397108702e-05,0.0,
Washington,2020-02-19,10.0,,7614893.0,103.0,784333979.0,Washington,7.285714285714286,,,0.007491186839012926,,
,2020-02-19,10.0,0.0,7614893.0,103.0,,us,7.285714285714286,0.0,,0.00010961659982203423,0.0,
Washington,2020-02-20,13.0,,7614893.0,102.33333333333333,779257383.6666666,Washington,9.142857142857142,,,0.009400705052878966,,
,2020-02-20,13.0,0.0,7614893.0,102.33333333333333,,us,9.142857142857142,0.0,,0.0001375580860511802,0.0,
,2020-02-21,11.0,0.0,7614893.0,102.0,,us,10.285714285714286,0.0,101.23809523809523,0.00015475284680757775,0.0,0.9537647254005139
Washington,2020-02-21,11.0,,7614893.0,102.0,776719086.0,Washington,10.285714285714286,,101.23809523809523,0.010575793184488837,,0.9576576576576578
,2020-02-22,13.0,0.0,7614893.0,104.33333333333333,,us,11.142857142857142,0.0,101.52380952380952,0.00016764891737487588,0.0,0.9564564414646735
Washington,2020-02-22,13.0,,7614893.0,104.33333333333333,794487169.6666666,Washington,11.142857142857142,,101.52380952380952,0.011457109283196239,,0.9603603603603605
,2020-02-23,16.0,0.0,7614893.0,104.66666666666667,,us,12.428571428571429,0.0,101.28571428571426,0.0001869930232258231,0.0,0.9542133447445404
Washington,2020-02-23,16.0,,7614893.0,104.66666666666667,797025467.3333334,Washington,12.428571428571429,,101.28571428571426,0.012779083431257344,,0.9581081081081081
,2020-02-24,26.0,0.0,7614893.0,103.33333333333333,,us,14.0,0.0,103.19047619047618,0.00021063581926586972,0.0,0.9721581185056037
Washington,2020-02-24,26.0,,7614893.0,103.33333333333333,786872276.6666666,Washington,14.0,,103.19047619047618,0.014394829612220918,,0.9761261261261261
,2020-02-25,31.0,0.0,7614893.0,104.33333333333333,,us,17.142857142857142,0.0,103.42857142857143,0.0002579214113459629,0.0,0.9744012152257369
Washington,2020-02-25,31.0,,7614893.0,104.33333333333333,794487169.6666666,Washington,17.142857142857142,,103.42857142857143,0.01762632197414806,,0.9783783783783786
,2020-02-26,29.0,2.0,7614893.0,106.0,,us,19.857142857142858,0.2857142857142857,103.85714285714286,0.00029875896814240705,0.00013843704575344364,0.9784387893219761
Washington,2020-02-26,29.0,2.0,7614893.0,106.0,807178658.0,Washington,19.857142857142858,,103.85714285714286,0.020417156286721506,,0.9824324324324326
,2020-02-27,27.0,0.0,7614893.0,106.66666666666667,,us,21.857142857142858,0.2857142857142857,104.47619047619047,0.00032884979946610273,0.00013843704575344364,0.9842708407943216
Washington,2020-02-27,27.0,0.0,7614893.0,106.66666666666667,812255253.3333334,Washington,21.857142857142858,,104.47619047619047,0.02247356051703878,,0.9882882882882884
Washington,2020-02-28,40.0,2.0,7614893.0,105.33333333333333,802102062.6666666,Washington,26.0,,104.95238095238095,0.02673325499412456,,0.992792792792793
,2020-02-28,40.0,2.0,7614893.0,105.33333333333333,,us,26.0,0.5714285714285714,104.95238095238095,0.00039118080720804377,0.0002768740915068873,0.9887570342345874
,2020-02-29,24.0,1.0,7614893.0,104.66666666666667,,us,27.571428571428573,0.7142857142857143,104.99999999999999,0.00041482360324809035,0.0003460926143836091,0.9892056535786139
Washington,2020-02-29,24.0,1.0,7614893.0,104.66666666666667,797025467.3333334,Washington,27.571428571428573,,104.99999999999999,0.028349001175088134,,0.9932432432432433
Rhode Island,2020-03-01,2.0,,1059361.0,109.0,115470349.0,Rhode Island,,,,,,
Michigan,2020-03-01,9.0,,9986857.0,115.0,1148488555.0,Michigan,,,,,,
,2020-03-01,89.0,3.0,18661111.0,112.48305828808014,,us,38.0,1.1428571428571428,106.11662737448762,0.0005717257951502177,0.0005537481830137746,0.999725407024174
Washington,2020-03-01,78.0,3.0,7614893.0,109.66666666666667,835099932.3333334,Washington,36.42857142857143,,105.7142857142857,0.037455934195064634,,1.0
Washington,2020-03-02,73.0,3.0,7614893.0,101.0,769104193.0,Washington,43.142857142857146,,105.38095238095237,0.044359576968272627,,0.9968468468468469
,2020-03-02,82.0,3.0,18661111.0,103.47045007127389,,us,46.0,1.5714285714285714,106.13621547990769,0.0006920891204450004,0.0007614037516439399,0.9999099466872639
Michigan,2020-03-02,9.0,,9986857.0,105.33333333333333,1051948937.3333333,Michigan,,,,,,
Rhode Island,2020-03-02,0.0,,1059361.0,103.66666666666667,109820423.66666667,Rhode Island,,,,,,
Michigan,2020-03-03,16.0,,9986857.0,107.0,1068593699.0,Michigan,,,,,,
Washington,2020-03-03,84.0,3.0,7614893.0,101.0,769104193.0,Washington,50.714285714285715,2.0,104.90476190476188,0.052144535840188015,0.08383233532934131,0.9923423423423423
,2020-03-03,100.0,3.0,18661111.0,104.40024478356798,,us,55.857142857142854,2.0,106.14577425851262,0.000840393931968929,0.0009690593202741054,1.0
Rhode Island,2020-03-03,0.0,,1059361.0,104.33333333333333,110526664.33333333,Rhode Island,,,,,,
Georgia,2020-03-04,2.0,,10617423.0,100.33333333333333,1065281441.0,Georgia,,,,,,
California,2020-03-04,53.0,,39512223.0,101.66666666666667,4017076005.0,California,,,,,,
New Hampshire,2020-03-04,2.0,,1359711.0,104.66666666666667,142316418.0,New Hampshire,,,,,,
Rhode Island,2020-03-04,0.0,,1059361.0,103.0,109114183.0,Rhode Island,,,,,,
Oregon,2020-03-04,3.0,,4217737.0,105.66666666666667,445674209.6666667,Oregon,,,,,,
Texas,2020-03-04,1.0,,28995881.0,102.66666666666667,2976910449.3333335,Texas,,,,,,
Florida,2020-03-04,2.0,,21477737.0,102.66666666666667,2205047665.3333335,Florida,,,,,,
Illinois,2020-03-04,4.0,,12671821.0,105.0,1330541205.0,Illinois,,,,,,
New York,2020-03-04,6.0,,19453561.0,103.33333333333333,2010201303.3333333,New York,,,,,,
South Carolina,2020-03-04,0.0,,5148714.0,104.33333333333333,537182494.0,South Carolina,,,,,,
Arizona,2020-03-04,2.0,,7278717.0,105.66666666666667,769117763.0,Arizona,,,,,,
Washington,2020-03-04,92.0,2.0,7614893.0,100.33333333333333,764027597.6666666,Washington,59.714285714285715,2.0,104.09523809523807,0.06139835487661575,0.08383233532934131,0.9846846846846846
Michigan,2020-03-04,18.0,,9986857.0,107.0,1068593699.0,Michigan,,,,,,
North Carolina,2020-03-04,1.0,,10488084.0,104.66666666666667,1097752792.0,North Carolina,,,,,,
,2020-03-04,187.0,2.0,185705154.0,103.1214933072527,,us,78.42857142857143,2.0,105.73455901669159,0.0011799904569077804,0.0009690593202741054,0.9961259386471709
Wisconsin,2020-03-04,1.0,,5822434.0,105.0,611355570.0,Wisconsin,,,,,,
New Jersey,2020-03-05,1.0,,8882190.0,104.0,923747760.0,New Jersey,,,,,,
California,2020-03-05,0.0,,39512223.0,102.0,4030246746.0,California,,,,,,
Tennessee,2020-03-05,1.0,,6829174.0,106.33333333333333,726168835.3333333,Tennessee,,,,,,
Georgia,2020-03-05,0.0,,10617423.0,99.66666666666667,1058203159.0,Georgia,,,,,,
Maryland,2020-03-05,0.0,,6045680.0,103.33333333333333,624720266.6666666,Maryland,,,,,,
Wisconsin,2020-03-05,0.0,,5822434.0,103.33333333333333,601651513.3333333,Wisconsin,,,,,,
Washington,2020-03-05,105.0,4.0,7614893.0,96.0,731029728.0,Washington,70.85714285714286,2.5714285714285716,102.57142857142856,0.07285546415981199,0.10778443113772455,0.9702702702702704
Oregon,2020-03-05,0.0,,4217737.0,104.0,438644648.0,Oregon,,,,,,
Ohio,2020-03-05,0.0,,11689100.0,107.0,1250733700.0,Ohio,,,,,,
Michigan,2020-03-05,20.0,,9986857.0,106.66666666666667,1065264746.6666667,Michigan,,,,,,
New York,2020-03-05,16.0,,19453561.0,104.0,2023170344.0,New York,,,,,,
Rhode Island,2020-03-05,1.0,,1059361.0,104.66666666666667,110879784.66666667,Rhode Island,,,,,,
,2020-03-05,153.0,4.0,239165866.0,103.6038883157348,,us,96.42857142857143,2.5714285714285716,105.29701925227276,0.0014508079388210414,0.0012459334117809928,0.9920038738030894
Illinois,2020-03-05,1.0,,12671821.0,104.0,1317869384.0,Illinois,,,,,,
Nevada,2020-03-05,1.0,0.0,3080156.0,102.66666666666667,316229349.3333334,Nevada,,,,,,
Colorado,2020-03-05,0.0,,5758736.0,103.33333333333333,595069386.6666666,Colorado,,,,,,
District of Columbia,2020-03-05,0.0,,705749.0,104.0,73397896.0,District of Columbia,,,,,,
North Carolina,2020-03-05,0.0,,10488084.0,103.0,1080272652.0,North Carolina,,,,,,
New Hampshire,2020-03-05,0.0,,1359711.0,106.0,144129366.0,New Hampshire,,,,,,
Texas,2020-03-05,0.0,,28995881.0,106.33333333333333,3083228679.6666665,Texas,,,,,,
Nebraska,2020-03-05,0.0,,1934408.0,105.66666666666667,204402445.33333334,Nebraska,,,,,,
South Carolina,2020-03-05,0.0,,5148714.0,101.0,520020114.0,South Carolina,,,,,,
Arizona,2020-03-05,0.0,,7278717.0,105.33333333333333,766691524.0,Arizona,,,,,,
Florida,2020-03-05,7.0,,21477737.0,102.66666666666667,2205047665.3333335,Florida,,,,,,
Virginia,2020-03-05,0.0,,8535519.0,104.0,887693976.0,Virginia,,,,,,
,2020-03-06,141.0,6.0,284111841.0,102.40808154372793,,us,110.85714285714286,3.142857142857143,104.87912613947198,0.0016678917933705601,0.0015228075032878798,0.9880669001861931
Arizona,2020-03-06,1.0,,7278717.0,105.0,764265285.0,Arizona,,,,,,
Kentucky,2020-03-06,0.0,,4467673.0,102.66666666666667,458681094.6666667,Kentucky,,,,,,
Virginia,2020-03-06,0.0,,8535519.0,102.33333333333333,873468111.0,Virginia,,,,,,
New York,2020-03-06,11.0,,19453561.0,99.66666666666667,1938871579.6666667,New York,,,,,,
Ohio,2020-03-06,0.0,,11689100.0,103.0,1203977300.0,Ohio,,,,,,
Oregon,2020-03-06,0.0,,4217737.0,100.33333333333333,423179612.3333333,Oregon,,,,,,
Washington,2020-03-06,82.0,6.0,7614893.0,92.66666666666667,705646751.3333334,Washington,76.85714285714286,3.142857142857143,100.76190476190473,0.07902467685076381,0.13173652694610777,0.9531531531531531
Arkansas,2020-03-06,0.0,,3017804.0,107.33333333333333,323910962.6666666,Arkansas,,,,,,
Nevada,2020-03-06,0.0,0.0,3080156.0,101.0,311095756.0,Nevada,,,,,,
California,2020-03-06,7.0,,39512223.0,100.0,3951222300.0,California,,,,,,
Minnesota,2020-03-06,1.0,,5639632.0,102.66666666666667,579002218.6666667,Minnesota,,,,,,
Georgia,2020-03-06,0.0,,10617423.0,104.33333333333333,1107751133.0,Georgia,,,,,,
Texas,2020-03-06,4.0,,28995881.0,105.0,3044567505.0,Texas,,,,,,
Rhode Island,2020-03-06,0.0,,1059361.0,102.0,108054822.0,Rhode Island,,,,,,
Pennsylvania,2020-03-06,2.0,,12801989.0,100.33333333333333,1284466229.6666665,Pennsylvania,,,,,,
Alaska,2020-03-06,0.0,0.0,731545.0,106.0,77543770.0,Alaska,,,,,,
South Carolina,2020-03-06,0.0,,5148714.0,107.66666666666667,554344874.0,South Carolina,,,,,,
Kansas,2020-03-06,0.0,,2913314.0,112.66666666666667,328233377.3333334,Kansas,,,,,,
District of Columbia,2020-03-06,0.0,,705749.0,101.0,71280649.0,District of Columbia,,,,,,
New Jersey,2020-03-06,0.0,,8882190.0,99.0,879336810.0,New Jersey,,,,,,
Illinois,2020-03-06,0.0,,12671821.0,104.0,1317869384.0,Illinois,,,,,,
Indiana,2020-03-06,1.0,,6732219.0,104.66666666666667,704638922.0,Indiana,,,,,,
Maryland,2020-03-06,3.0,,6045680.0,100.0,604568000.0,Maryland,,,,,,
Wisconsin,2020-03-06,0.0,,5822434.0,105.33333333333333,613296381.3333333,Wisconsin,,,,,,
West Virginia,2020-03-06,0.0,,1792147.0,102.0,182798994.0,West Virginia,,,,,,
Iowa,2020-03-06,0.0,,3155070.0,111.0,350212770.0,Iowa,,,,,,
New Mexico,2020-03-06,0.0,,2096829.0,107.0,224360703.0,New Mexico,,,,,,
Florida,2020-03-06,0.0,,21477737.0,101.0,2169251437.0,Florida,,,,,,
Colorado,2020-03-06,2.0,,5758736.0,103.0,593149808.0,Colorado,,,,,,
North Carolina,2020-03-06,1.0,,10488084.0,104.66666666666667,1097752792.0,North Carolina,,,,,,
Tennessee,2020-03-06,0.0,,6829174.0,103.66666666666667,707957704.6666667,Tennessee,,,,,,
Nebraska,2020-03-06,0.0,,1934408.0,108.66666666666667,210205669.33333334,Nebraska,,,,,,
New Hampshire,2020-03-06,0.0,,1359711.0,102.33333333333333,139143759.0,New Hampshire,,,,,,
Delaware,2020-03-06,0.0,,973764.0,100.33333333333333,97700988.0,Delaware,,,,,,
Vermont,2020-03-06,0.0,,623989.0,104.0,64894856.0,Vermont,,,,,,
Michigan,2020-03-06,26.0,,9986857.0,103.0,1028646271.0,Michigan,,,,,,
,2020-03-07,220.0,1.0,321347020.0,106.1574636976562,,us,138.85714285714286,3.142857142857143,105.09209714389907,0.0020891634319022997,0.0015228075032878798,0.9900733013445512
Minnesota,2020-03-07,1.0,,5639632.0,105.66666666666667,595921114.6666667,Minnesota,,,,,,
Mississippi,2020-03-07,0.0,,2976149.0,113.33333333333333,337296886.6666666,Mississippi,,,,,,
